id,duration_raw,gender,age,city,area,occupation,education,soundproof_wall,home_office,noise_impact,insulation,noise_traffic,noise_life,noise_construction,noise_business,noise_public,noise_animal,distance_source,time_period,eff_sleep_onset,eff_sleep_interrupt,eff_attention,eff_relationship,eff_mental,eff_physical,eff_hearing,eff_emotion,satisfaction,governance_satisfaction,coping_endure,coping_negotiate,coping_community,coping_protect,coping_official,coping_legal,coping_other,awareness_channel,awareness_policy,awareness_necessity,resp_gov,resp_property,resp_business,resp_resident,resp_other,meas_enforce,meas_law,meas_facility,meas_time,meas_publicity,meas_complaint,meas_planning,meas_other,open_text,duration
2,239秒,1,2,2,1,5,5,2,,2,4,3,4,4,1,2,2,4,4,5,5,4,4,4,3,3,4,2,3,0,1,1,0,1,0,0,3,3,1,1,1,1,1,0,1,1,1,1,0,1,0,0,加强相关处罚政策落地,239.0
3,55秒,1,1,3,1,5,5,2,,3,4,4,4,4,4,4,4,2,1,3,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,3,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,无,55.0
4,311秒,1,1,3,2,5,5,2,,2,4,2,5,3,1,1,2,5,4,4,4,5,5,3,2,2,4,2,2,1,0,0,1,0,0,0,5,3,2,0,0,1,1,0,0,0,1,1,1,0,1,0,希望能增加减噪技术的应用,311.0
7,180秒,1,3,1,1,3,3,1,2.0,4,1,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,4,5,0,0,1,0,1,1,0,5,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,目前杭州整体声污染治理还是挺好的。,180.0
8,74秒,1,2,1,3,5,5,1,,5,1,2,1,4,1,1,1,2,1,5,5,5,5,5,5,5,5,3,4,0,0,0,0,0,0,1,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,无,74.0
9,235秒,1,3,1,2,4,3,1,2.0,3,3,3,2,4,1,1,3,3,1,3,2,2,3,2,2,3,2,5,5,0,0,1,0,1,0,0,4,4,2,0,1,1,0,0,1,1,0,1,1,0,0,0,将噪声治理纳入地方政府生态环保考核，对治理不力、投诉居高不下的约谈、通报、问责。,235.0
10,133秒,2,2,1,1,3,4,1,3.0,3,3,3,2,5,5,5,1,3,1,3,1,3,5,2,3,3,3,3,3,1,0,1,1,0,0,0,5,4,1,1,1,0,1,0,1,1,1,1,1,1,1,0,加大宣传,133.0
11,216秒,1,4,1,1,3,3,1,3.0,3,1,2,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,4,3,0,0,0,0,0,0,1,3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,无,216.0
12,149秒,2,2,1,2,9,3,3,2.0,2,2,5,4,4,4,4,4,2,1,4,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,0,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,0,无,149.0
13,227秒,1,2,1,1,9,5,2,3.0,1,5,5,5,3,1,3,3,4,4,5,5,5,5,5,5,5,5,1,1,0,0,0,0,1,0,0,5,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,乡镇街道应将噪声扰民纳入基层社会治理重点事项，基层群众性自治组织可推动噪声防治内容纳入村规民约、居民公约，并建立矛盾纠纷调解机制。‌,227.0
14,207秒,1,2,1,1,3,6,3,3.0,3,3,2,2,3,4,4,3,1,4,5,5,5,5,5,5,5,5,2,3,0,0,0,1,0,0,0,1,1,3,1,1,1,1,0,1,1,1,1,1,1,0,0,没有,207.0
15,82秒,2,2,1,1,9,5,3,2.0,2,2,4,5,5,4,5,5,2,1,5,5,5,5,5,5,5,5,3,4,0,1,1,0,1,0,0,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,无,82.0
16,302秒,1,2,1,1,3,4,2,2.0,4,3,2,3,1,1,1,1,1,2,5,2,2,2,2,2,2,2,2,3,0,0,1,0,1,1,0,3,3,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,302.0
17,422秒,1,2,1,1,9,4,2,3.0,2,5,5,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,1,1,1,1,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,设区的市、县（市、区）应依据第七条及时划定和调整声环境质量标准适用区域及噪声敏感建筑物集中区域，并向社会公布。‌,422.0
18,86秒,1,2,1,1,5,5,1,,3,3,4,3,3,3,4,3,1,3,5,4,4,4,4,5,3,3,4,4,0,1,1,1,1,0,0,3,3,2,1,1,1,1,0,1,1,1,1,1,1,1,0,无,86.0
19,115秒,2,2,3,2,5,5,2,,4,3,3,4,3,1,1,4,3,1,3,3,3,3,3,3,3,3,3,3,1,0,0,1,0,0,0,3,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,无,115.0
20,236秒,2,2,3,4,5,5,2,,2,4,3,4,4,2,2,2,3,1,5,4,5,5,5,5,5,5,2,3,0,1,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,无,236.0
21,66秒,1,2,3,2,5,5,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,3,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,无,66.0
22,97秒,1,2,3,3,5,5,1,,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,0,0,0,3,3,2,1,1,0,1,0,1,1,1,1,1,1,1,0,无,97.0
23,157秒,1,2,3,1,5,5,2,,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,0,0,0,0,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,无,157.0
24,1437秒,1,4,1,1,4,2,1,2.0,4,1,5,3,3,3,4,4,3,1,3,4,2,4,3,2,4,4,5,3,0,1,0,1,0,0,0,4,3,3,0,1,1,1,0,1,0,1,1,0,1,1,0,将噪声治理纳入地方政府生态环保考核，对治理不力、投诉居高不下的约谈、通报、问责。,1437.0
25,51秒,1,1,3,1,5,5,1,,3,2,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,3,3,1,1,1,0,0,0,1,1,1,1,1,0,0,0,无,51.0
26,105秒,1,2,2,1,5,5,1,,3,3,4,2,4,1,3,1,3,2,2,2,3,2,3,2,3,3,4,4,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,无,105.0
27,119秒,1,2,3,2,5,5,3,,4,3,2,3,2,2,2,1,3,3,4,2,4,4,3,2,2,3,3,3,0,1,0,1,0,0,0,3,3,2,1,1,1,1,0,0,1,1,1,1,1,1,0,暂无,119.0
28,55秒,2,3,2,5,1,4,2,2.0,4,2,5,2,4,1,1,1,3,4,5,5,5,5,5,4,4,3,3,2,1,0,0,1,0,1,0,4,2,2,1,0,1,0,0,0,0,1,0,1,0,0,0,加强噪声治理,55.0
