题项,F1,F2,F3,F4
交通噪声影响,-0.011,-0.019,0.395,-0.039
周围人生活噪声影响,0.021,0.029,-0.116,0.384
装修/施工噪声影响,-0.007,-0.053,0.551,-0.191
商业经营噪声影响,-0.036,-0.037,-0.111,0.506
公共活动噪声影响,-0.109,-0.016,0.427,0.022
动物噪声影响,0.003,-0.12,-0.003,0.467
噪声入睡情况影响,0.28,0.013,-0.018,-0.066
噪声中断睡眠影响,-0.049,0.31,-0.024,-0.034
噪声注意力影响,0.339,-0.055,-0.042,-0.016
噪声身边关系影响,-0.093,0.346,-0.04,-0.01
噪声精神状态影响,0.358,-0.09,-0.053,-0.001
噪声对身体健康影响,-0.053,0.337,-0.011,-0.041
噪声对听觉影响,0.281,-0.06,-0.038,0.081
噪声对极端情绪影响,0.007,0.316,-0.02,-0.086
