F1,F2,F3,F4,composite
0.9045,0.9458,-0.0094,-0.9668,0.3585
-0.188,-0.325,0.9089,1.1689,0.265
0.5683,0.8614,-1.1596,-0.4351,0.1029
1.6982,1.8554,-1.3082,-0.9468,0.6064
1.7773,1.8798,-0.5611,-2.3564,0.5094
-0.3499,-0.8221,0.1727,-0.8883,-0.4888
-0.6915,-0.0293,1.4961,-0.2886,0.0275
-1.6477,-1.8308,-0.5207,-0.3806,-1.22
0.639,0.5805,1.0385,0.9954,0.774
1.6633,1.7624,0.223,-0.1886,1.0309
1.4715,1.6367,-0.3776,0.0656,0.864
1.415,1.3938,1.1847,1.452,1.3693
-0.016,-0.6742,-1.5483,-0.9556,-0.7072
1.496,0.5961,1.4861,1.8835,1.3078
0.6092,0.805,0.4794,0.019,0.5227
0.1618,-0.1447,-0.5949,0.1574,-0.0827
1.752,1.5538,-0.2756,-0.5892,0.8158
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
-0.2878,0.2214,0.9183,0.5766,0.2785
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
-0.1276,-0.8116,1.1173,-1.6481,-0.3768
0.3089,-0.098,-1.0339,-0.773,-0.2985
1.5752,1.0984,0.3898,-2.0042,0.4826
0.1249,0.029,0.4013,-1.5891,-0.1877
1.9389,-1.1574,-0.5265,-0.9155,-0.0363
-1.609,-1.5431,-0.128,-0.6385,-1.0954
1.0809,1.9331,-0.0101,-0.4639,0.801
-0.3261,-0.7906,0.1993,-1.4217,-0.573
0.1628,-0.3089,-1.9116,0.1314,-0.4035
-1.7702,-0.4384,-1.9659,0.0109,-1.0662
1.6356,1.5697,0.6982,0.2858,1.1572
1.5916,1.6867,-0.3965,-0.0305,0.8923
-1.2678,-1.8437,-1.15,-0.9618,-1.3515
1.3783,1.3494,1.4269,1.8021,1.464
-1.5694,-1.7102,-0.4532,-1.3928,-1.3484
1.5519,0.8634,0.6002,-2.2972,0.3913
1.822,2.043,-1.7688,-1.2571,0.5437
1.5564,1.866,-0.5262,-0.2748,0.859
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
1.4943,1.1221,-1.591,-0.6967,0.3219
-0.468,-0.887,0.042,-1.0343,-0.5994
-0.809,-1.0041,-0.72,-0.1542,-0.7177
-1.3117,-1.3585,1.1506,-0.1123,-0.5859
0.9667,1.0894,-0.9192,-1.1795,0.192
1.8457,1.9469,-1.7544,-0.6759,0.6413
-0.2879,-1.1245,0.3238,-0.4694,-0.4443
0.2568,0.3181,-0.7793,-1.7886,-0.3429
0.9162,0.063,-0.6083,-0.6769,0.0395
-1.267,-1.5525,-0.6026,-1.6774,-1.297
1.4043,1.6303,0.9137,-0.0604,1.0793
1.0609,0.1355,0.6984,-0.4201,0.4219
1.8487,2.0779,-1.6442,-0.6191,0.7143
0.441,-1.0233,-0.6603,-1.8573,-0.6686
-1.7543,-1.9994,0.391,0.5357,-0.9341
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
2.1769,0.3442,-0.5025,-1.3884,0.3865
1.2063,-0.2748,-1.8076,-0.646,-0.2086
0.8758,-0.1593,-0.1556,-1.2359,-0.0569
0.2339,-1.248,0.5677,-0.2709,-0.2322
0.5656,0.0883,-1.083,-1.0074,-0.2223
0.8725,-0.3164,1.0424,-0.5991,0.2666
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
-0.7654,-1.1661,-0.5509,-1.6539,-1.0157
-1.5505,-1.6782,-1.106,-1.3289,-1.4533
1.1677,1.2663,-0.4102,2.0002,1.0411
1.1946,0.9614,0.8527,0.4487,0.9084
0.7566,0.1806,1.6522,1.4606,0.9103
-0.3841,-0.4265,0.2923,-0.8797,-0.3574
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
1.8435,2.0418,-1.752,-1.0439,0.5957
-0.1013,-0.1445,-0.7988,-1.3389,-0.502
1.6277,1.5536,0.4323,-1.0373,0.8328
0.7874,1.2457,-1.1563,-0.9677,0.1769
0.4957,-0.1602,-1.8613,-1.6247,-0.5975
1.783,0.7891,-1.5838,-0.7042,0.3125
0.7527,-2.1726,1.3012,-0.4959,-0.2399
1.073,-0.3035,-1.8916,-1.5736,-0.4593
1.0934,1.208,-2.3694,-0.1118,0.1826
1.593,1.3475,-1.2366,-0.9698,0.4358
1.9782,0.9224,-2.1853,-1.7303,0.0846
1.6938,1.7244,-0.8261,0.2875,0.9103
-0.0814,-0.1564,-0.0028,0.2526,-0.0209
0.6529,0.0614,-0.0706,0.0395,0.2106
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
-0.5779,0.0633,0.2015,0.8851,0.0592
1.224,1.4459,-1.2077,-0.8786,0.376
-0.5128,-0.9888,1.9381,0.2906,0.0064
-0.8468,0.4,0.0728,-0.5533,-0.2365
0.544,0.9531,-1.6059,-1.7279,-0.2256
-0.7498,-1.4253,-1.2641,-0.6962,-1.0414
-1.6477,-1.8308,-0.5207,-0.3806,-1.22
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
-0.7359,-1.1897,-0.6851,-0.5141,-0.8142
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
1.9852,0.8457,-1.5191,-1.4638,0.2529
-0.7046,-0.7406,-1.6293,-1.4385,-1.0492
-1.5411,-1.6621,-1.4324,-1.2969,-1.5058
-1.764,-1.7432,-0.9436,-0.4987,-1.3393
-0.6143,-0.8027,-0.7466,-1.155,-0.8039
