变量,β,SE,Wald,p,OR,CI下限,CI上限
阈值Y=1,-3.196,0.331,93.523,<0.001,,,
阈值Y=2,-0.865,0.292,8.779,0.003,,,
阈值Y=3,0.713,0.296,5.824,0.016,,,
阈值Y=4,2.433,0.331,53.873,<0.001,,,
Age1,-0.995,0.371,7.182,0.007,0.37,0.179,0.765
Age2,-0.321,0.227,1.998,0.158,0.725,0.465,1.132
Age3,-0.648,0.252,6.578,0.01,0.523,0.319,0.858
Age4,-0.557,0.33,2.851,0.091,0.573,0.3,1.094
Edu1,-0.082,0.351,0.055,0.815,0.921,0.463,1.834
Edu2,-0.521,0.286,3.314,0.069,0.594,0.339,1.041
Edu3,-0.477,0.25,3.642,0.056,0.62,0.38,1.013
Edu4,-0.648,0.26,6.209,0.013,0.523,0.314,0.871
CityHZ,-0.162,0.225,0.522,0.47,0.85,0.547,1.32
CityNB,0.082,0.216,0.144,0.704,1.085,0.711,1.656
Area1,0.191,0.261,0.535,0.464,1.211,0.725,2.021
Area2,-0.217,0.255,0.728,0.394,0.805,0.488,1.326
Area3,-0.4,0.28,2.04,0.153,0.67,0.387,1.16
Wall,0.67,0.201,11.14,<0.001,1.953,1.318,2.894
F1,-0.256,0.092,7.841,0.005,0.774,0.647,0.926
F2,-0.583,0.095,37.851,<0.001,0.558,0.464,0.672
F3,-0.44,0.092,22.719,<0.001,0.644,0.538,0.772
F4,-0.309,0.094,10.731,0.001,0.734,0.61,0.883
